Korean,English
강수량,Precipitation
교대,rotation
구청,Ward office
국내외,Domestic and abroad
금지되다,Be forbidden
기도하다,Pray
기성,Beam
깨뜨리다,Break
꼼짝,Rusting
남학생,boy
농사일,Farming
농장,Farm
데이트,date
되돌아가다,Revert
두부,tofu
들이켜다,Stalk
따라다니다,Follow
라운드,round
마음가짐,mental attitude
바퀴,wheel
번개,Lightning
변화되다,Change
부러워하다,envy
부재,absence
생,raw
서늘하다,Cool
성경,Bible
소요되다,Take
소화하다,Digest
순간적,Instantaneous
시집가다,Pestle
시청,City Hall
싶어지다,Fetch
씌우다,sheathe
야간,Nighttime
엇갈리다,Stagger
엷다,Faint
오락,game
오른손,right hand
우아하다,elegant
이것저것,this and that
이슬,Dew
인간관계,Relationships
장기간,Long period
저자,author
전선,wire
정지,stop
제의하다,Propose
조명,light
조화되다,Harmonize
줄거리,summary
중단,stop
차선,Lane
착각하다,Mistake
초상화,portrait
출장,business trip
쿠데타,Coup d'etat
퇴근,leave work
특수성,distinctiveness
항공기,aircraft
활발히,Actually
회화,conversation
흥미롭다,Interesting
가져다주다,Fetch
각오,Resolution
개방되다,Open
겨자,mustard
경고하다,Warn
경제학,economics
골프,golf
관심사,Interest
구별되다,Distinguish
국사,Tract
굳히다,bind
귀국,Return
그간,In that
그럴듯하다,Plain
극작가,playwright
기,energy
기울다,slant
기적,miracle
끌리다,traipse
내보내다,Fiddle
담,wall
동서,cohabitation
들여놓다,Stump
따스하다,Warm
말투,speech
명령어,command
목욕탕,baths
미끄러지다,slip
바닷물,sea ​​water
변신,transform
부친,Sterling
붙잡히다,Caught
브랜드,brand
빨다,suck
사무,Affairs
사소하다,Trivialize
상,award
상쾌하다,Refresh
성,Castle
손길,Hand
순위,ranking
식사하다,have a meal
쌍,pair
썰렁하다,Waste
암시,suggestion
앞날,In front of
역사상,Historical
연주,play
우울하다,Depressed
우체국,post office
울리다,make cry
육상,Athletics
음주,Drinking
이별,farewell
인재,Human Resources
인종,race
일시적,temporary
재밌다,fun
전문적,Professional
젊음,youth
점잖다,Give it to
조개,clam
주무시다,sleep
중계방송,Relay
중독,Addiction
지급,Payments
진실하다,Truth
차창,Chapter
초청하다,Invite
출발점,starting point
출판,Publishing
출현하다,Emerge
클럽,club
키스,kiss
탈출하다,to escape
판사,judge
허락,allow
확신,assurance
걱정스럽다,Worrisite
건설되다,Construct
고개,head
고프다,Gore
그제야,Yes
금연,no smoking
기성세대,기 세
기술하다,Technical
까치,Magpie
꿈속,Dream
나비,butterfly
남북,Inter-Korean
납득하다,Convinces
단,only
대사관,Embassy
독창적,Unique
되풀이되다,Repeat
떠나가다,Leave
떠들썩하다,Fabricate
뜻대로,Asymis
레스토랑,restaurant
로봇,robot
만점,Score
매달,medal
모여들다,Gather
바깥쪽,Outer
배고프다,hungry
버섯,mushroom
보안,security
뵈다,See
부,wealth
비웃다,Making fun of
비키다,Bicid
사나이,man
사모님,Mrs
삼,three
상징적,Symbolic
색다르다,Mist
세미나,seminar
세제,Detergent
속삭이다,Whisper
시일,seal
시합,match
신속하다,Faster
신제품,new product
신중하다,Be careful
썩,Rotten
암컷,female
여행하다,travel
예고하다,Notice
위반하다,Violate
윗몸,Sitality
은은하다,Silver
이해관계,Understanding
익히다,to cook
일대,cohort
입력,input
자연현상,Natural phenomenon
정류장,station
정신없이,Without spirit
정직하다,Be honest
조정하다,Mediate
주름,wrinkle
중요,important
챔피언,champion
최신,new
축하,Congrats
취소,cancel
캐릭터,Characters
커튼,curtain
팬,Pan
해롭다,Harm
현관문,Main door
활발해지다,Live
회복되다,Recover
희생하다,sacrifice
가능해지다,Be possible
겨울철,Winter
고추장,chili pepper paste
골프장,golf course
공연히,vainly
과정,process
국수,noodle
국제적,International
그루,Grudge
그전,Before
금고,safe
꾸중,Figurine
끌어당기다,Pull
끼,talent
능동적,Active
달빛,Moonlight
당분간,for now
도움말,Help
되살리다,Revitalize
뒷산,Back
땜,Plowing
만족하다,satisfied
맵다,spicy
메다,Medium
몰려오다,Crow up
물질적,Material
미인,Beauty
믿어지다,Believe
반죽,dough
반지,ring
밤,night
배치,arrangement
백인,White
본,copy
본사,head office
부르다,call
불평등하다,Unequal
비타민,vitamin
빌딩,building
빠뜨리다,Exile
산속,Mountain
새로이,freshly
서양인,Occidental
소지품,belongings
송이,cluster
쇠,iron
수컷,cock
승리하다,Win
식초,vinegar
심부름,errand
씨앗,seed
야외,outdoor
얻어먹다,Get
엄숙하다,Solemn
여가,Leisure
여동생,younger sister
연상하다,Reminiscent
옆집,next door
오래간만,long time no see
오래도록,So
올려다보다,Upload
외다,Take out
외침,shout
이빨,teeth
이해,understand
일손,work in hand
잠바,jacket
잠수함,submarine
장수,Long live
장학금,scholarship
재다,take
점심시간,Lunch hour
지도하다,Lead
지적,Point out
진로,Course
진행자,MC
찾아다니다,Fetch
책임감,responsibility
체온,temperature
초밥,sushi
출구,exit
출입문,Door
통과,Pass
포장마차,snack cart
푸다,scoop out
풀,grass
피망,pimento
필름,film
한결,Year
한여름,midsummer
항공,Airline
호선,line
회전,rotation
휴지,tissue
가려지다,Row
가위,Scissors
고속,high speed
곧다,Straight
골치,Tull
구하다,save
그때그때,Then
내달,My month
놔두다,Let
늦어지다,Be delayed
도망가다,Run away
독하다,Be poisoned
땅콩,peanut
뜰,garden
뜻밖에,unexpectedly
명단,list
무의미하다,Untouch
문구,Phrases
뭣,For
미만,under
백색,White
비바람,rainstorm
사기,fraud
사망하다,Die
사무직,Office
소질,diathesis
솜,cotton
시디롬,SD
식생활,Diet
신호등,Traffic Light
신혼여행,Honeymoon
실,line
씩씩하다,Spur
연구실,Lab
월드컵,World Cup
유머,humor
의류,clothing
입원,Admission
잊혀지다,Be forgotten
잘살다,Live well
장가,Garden
적응,adaptation
정리되다,Stimulate
졸업생,graduate
죽다,die
창피하다,It is embarrassing
친절,kindness
침실,bedroom
태권도,Taekwondo
토론하다,have a discussion
하나하나,One by one
합하다,fit
핸드백,handbag
햄버거,hamburger
가정교사,tutor
감사,thanks
공통적,Common
교육자,educator
교재,textbook
기타,Other
길어지다,Set up
깨소금,Sew salt
나빠지다,Fall
놓아두다,Set
대접하다,entertain
두통,headache
뛰어내리다,Jump
무궁화,Rose of Sharon
바이러스,virus
방바닥,Flooring
번거롭다,Cumbersome
사냥,hunt
사회생활,Social Life
설거지,washing dishes
수년,Yearly
수출하다,Export
숙소,lodging
슈퍼마켓,supermarket
심리적,Psychological
연기,Acting
위로,consolation
이용자,user
입력하다,enter
자격증,certificate
진료,diagnosis
창가,Window
초조하다,Rake
타다,Ride
한잔하다,Cup
함께하다,together
합격하다,Pass an examination
화장지,paper towel
힘껏,amain
가요,Go
감상,enjoy
공짜,free
공통되다,Common
그만하다,stop
나들이,picnic
녹이다,melt
눈가,Snowy
도망,escape
동기,motivation
모기,mosquito
미니,mini
방면,direction
법적,Legal
벤치,Bench
보수,repair
볼일,Below
부끄러움,shame
비누,soap
비행,flight
빗줄기,Room Ring
사회학,sociology
성적,sexual
세수,wash face
순진하다,Naive
스웨터,sweater
심심하다,Bored
어려워지다,Be difficult
여행사,Travel agency
올라서다,Climb
왼손,Left hand
유학생,foreign student
은,silver
자리,Seat
잘생기다,handsome
장애인,Disabled
재활용품,Recycling
저러다,Sustain
저리,there
절약하다,Retrench
정반대,contrary
조,article
진동,vibration
찌개,Stew
추천,suggestion
학점,Grades
한가하다,It is idle
합격,pass
환영하다,Welcome
간접적,Indirect
갈다,Sharpen
경영하다,Run
그리움,longing
그사이,in between
기념하다,celebrate
기도,Prayer
길거리,Street
꽃잎,petal
넥타이,necktie
대강,outline
독립하다,Independence
돌려주다,Give back
들이마시다,Mine
뛰어오르다,Jump
라이터,lighter
매일,everyday
문밖,Outside door
방송하다,Broadcast
보충하다,to make up
불완전하다,Incomplete
불평,complain
붐비다,bustle
생활환경,Living environment
서명,signature
손등,Hand
역사학,Historics
영,zero
오리,duck
요리사,Cook
원,won
원서,application
월,month
이론적,Theoretical
이제야,"Now,"
임신하다,Pregnancy
입원하다,Hospitalize
자취,trace
잠그다,lock
잡수시다,Catch
장난감,toy
장례,funeral
전기밥솥,electric rice cooker
지금껏,So far
지름길,shortcut
지진,Earthquake
참석자,attendees
창구,window
최저,lowest
코미디,comedy
튀기다,fry
필수,necessary
하품,yawn
한국말,Korean
횟수,number
흐리다,cloudy
가능,possible
값싸다,Chill
계란,egg
교문,Gate Door
권투,boxing
긴장감,tension
김,seaweed
넷,four
뒤편,Back
매달다,suspend
매주,every week
문제되다,Issue
받침,support
북,north
불이익,disadvantage
불필요하다,Unnecess
산부인과,Obstetrics and gynecology
새우다,Bite
서명하다,Sign
수,number
수고하다,Keep the good work
수학,Mathematics
신부,priest
쓸데없다,I do not have it.
아뇨,no
아래쪽,Downward
아스팔트,asphalt
아하,AHA
알코올,Alcohol
액세서리,accessory
에어컨,air conditioner
염려하다,Concern
오이,cucumber
외삼촌,uncle
요,Yo
웃음소리,Smile
위쪽,topside
음료수,drink
인쇄,print
잔디,grass
전세,charter
조깅,jogging
치다,hit
캠퍼스,campus
터널,tunnel
통,container
퇴직금,severance pay
환갑,Swelling
가만있다,Esth
간편하다,easy
감동적,Impressive
건너오다,Cross
관광지,Tourist destination
교복,uniform
교포,Interpola
귀가하다,Ear
날아다니다,Fley
더더욱,More
등록금,Tuition
뛰어다니다,Jump
마음씨,nature
메모,memo
몸매,Figurine
몸무게,weight
무관심,indifference
반짝이다,Sparkle
배달,delivery
번역,Translation
부인,wife
분주하다,Bust
비닐봉지,plastic bag
비판적,Critical
뺏다,Take off
사전,dictionary
서랍,a drawer
소나기,shower
소중히,Cherry
손잡이,handle
수도꼭지,water tap
실례,excuse
싸구려,cheap
안녕,Hi
안되다,Furnish
약국,pharmacy
어찌나,What
엉터리,nonsense
연하다,Soft
원숭이,monkey
위법,illegality
육체적,Physical
음력,Lunar
이혼,divorce
일회용,disposable
잔디밭,lawn
저기,excuse me
전문직,Professional
전화기,cellphone
제출,submission
지난주,last week
진달래,Azalea
쪽,side
차남,second son
채점,Scoring
침착하다,Deposit
캄캄하다,Clark
타자기,keyboard
팬티,panties
편히,Amally
포인트,point
포크,fork
한밤중,midnight
효도,Effort
가구,furniture
간호사,nurse
개나리,forsythia
고등학생,high school student
골목길,close
관람객,Audience
귀가,homecoming
그리워하다,miss
기억나다,Remember
기침,cough
노랫소리,Sound
다섯,five
닭고기,chicken
대학교수,University professor
뒷문,back door
딸아이,Daughter
레몬,lemon
만족스럽다,Satisfactory
미움,hate
바가지,overpriced
발끝,tiptoe
배꼽,navel
병실,ward
봉사하다,serve
비행장,airfield
사랑스럽다,lovely
숟가락,Spoon
술병,Flask
습기,humidity
쓰이다,write
엽서,Postcard
예보,forecast
요일,Day of the week
욕실,bathroom
용감하다,brave
운전기사,driver
위험성,Risks
익다,ripe
일,Work
장마,The rainy season
재학,Attending
저,I
전기,Electric
전시하다,display
정기적,regularly
종교적,Religious
주관적,Subjective
직장인,Office workers
진심,Sincerity
질문하다,Ask a question
짧아지다,Shorter
찌다,steam
책가방,school bag
천국,heaven
치약,toothpaste
큰절,Crab
학과,Department
후회,regret
강조,emphasis
게시판,notice board
공통점,Commonality
과외,Tutorial
교내,Interior
금요일,Friday
김밥,Kimbab
내적,Inner
놀이터,playground
다녀가다,Go
답장,reply
때때로,sometimes
뜨다,to rise
마라톤,marathon
매스컴,Mass Com
무,radish
묵다,lodge
바나나,banana
발등,instep of a foot
밤새,Overnight
별일,Sami
보내오다,Send
부채,fan
불법,illegal
블라우스,blouse
사업가,Entrepreneur
사이좋다,Say good
세상에,Oh my gosh
수고,effort
수요일,Wednesday
슬퍼하다,Grieve
시금치,spinach
신청서,application
쓰레기통,trash can
아랫사람,Belly
앞쪽,Front
앨범,album
양,sheep
여전하다,Still
영남,Yeongnam
옥상,rooftop
왼발,Left-footed
운전하다,drive
위,stomach
일기,diary
일자리,Job
자매,sisters
저번,Last time
전시장,showroom
절약,Saving
정답,answer
정오,At noon
제대하다,Make up
졸다,snooze
즉석,Instant
지방,province
차차,Cha Cha Cha Cha
추측,guess
충고,advice
코피,Nosebleed
턱,chin
팩시밀리,Facsimile
한낮,Midday
할인,discount
가득히,chock
간호,nurse
갑,the former
건너,Crossing
걷다,To Walk
겁나다,Scare
고구마,sweet potato
국기,flag
금메달,gold medal
노트,note
눈감다,Snow
눈뜨다,Pieces
대입,Assignment
대화하다,Converse with
도마,cutting board
동화책,fairy tale book
딸기,Strawberry
땅바닥,The ground
모집하다,recruit
미워하다,Hate
밤색,brown
밥맛,Appetite
배우자,spouse
복사,Copy
볶음밥,fried rice
성별,gender
세탁,laundry
소문나다,Rumor
소용없다,no use
속상하다,upset
손수건,handkerchief
송아지,calf
수돗물,tap water
수만,Typically
수입되다,Import
수입품,Imported goods
술자리,Drill
식기,Tableware
싼값,Cheap
안,not
안부,safety
양주,liquor
어린이날,Children's Day
영화배우,Actor
오른발,Right foot
용서,Forgiveness
우편,post
이사하다,Move house
일등,first class
작아지다,Fluff
정장,suit
좁히다,make narrow
좋아,great
죽,porridge
줄무늬,stripe
지워지다,Erase
지저분하다,dirty
진통,throes
찬성하다,Appreciate
참석,attend
초콜릿,chocolate
최고급,Top
최상,the best
최악,worst
출국,Departure
친해지다,Close
코끝,Nose tip
터미널,terminal
피자,Pizza
한국적,Korean
햄,ham
환영,illusion
가로수,colonnade
간식,snack
감,Persimmon
개다,fold
고급스럽다,Luxurious
고소하다,Sue
공주,Princess
깨어지다,Wake up
남,male
네거리,crossroads
노란색,yellow
녹음하다,Recording
달러,dollar
대여섯,Life
되돌아보다,Revert
등산로,Climb
마사지,massage
만,just
먹히다,Dear
몸살,sick
무더위,swelter
무용가,Dance
박스,box
반기다,Half
밥솥,Rice cooker
베개,Pillow
벨트,belt
복사하다,To copy
붓다,pour
비,rain
사계절,four Seasons
사과하다,apologize
사투리,dialect
상금,reward
수저,Spoon
식욕,appetite
앞바다,Prove
얄밉다,Yarn
양상추,lettuce
여대생,College student
연기하다,Adjourn
온라인,online
외갓집,Snap
외할머니,maternal grandmother
유능하다,Impersonate
유적지,Historic sites
음악가,Musician
응답하다,to respond
이롭다,Fulfill
이분,Die
인삼,Ginseng
인상,impression
입사,join
자,ruler
재활용,recycle
점원,clerk
제삿날,Sister
주름살,wrinkles
참고하다,Reference
찻잔,teacup
철학적,Philosophical
초대,invite
추천하다,recommend
칫솔,toothbrush
큰길,main street
판매되다,Sell
편,side
포근하다,comfy
포도,grape
하나님,God
학력,Education
한정하다,Limerate
향상되다,Improve
홈페이지,home page
횡단보도,crosswalk
가톨릭,Catholic
강당,auditorium
건조하다,dry
걷기,walking
고모부,Uncle
공중전화,Payphone
공통,common
과거,past
국가적,Nationality
귓속,Whisper
그래픽,graphic
근교,suburb
기초적,Basic
녹음,record
다양성,Diversity
대상자,Subject
동그라미,circle
떠나오다,Fetch
레이저,laser
마중,Mt.
밝다,bright
밤중,Night during the night
배드민턴,Badminton
배부르다,full
버튼,button
보수적,Conservative
불확실하다,Uncertain
비만,obesity
빗방울,raindrop
사회자,moderator
샤워,shower
서투르다,Climb
세탁기,washing machine
손뼉,Clap
손수,Handmade
송편,songpyeon
시들다,wither
시디,SD
신사,Gentleman
신혼부부,newly married couple
싱겁다,Singh
쓸데없이,Unnecessary
야하다,Have
어쩌다가,How do I do
옛날이야기,Old story
오븐,Oven
온종일,Holiday
와인,wine
왕비,Queen
우승하다,Win
운반,carrying
웃어른,Smile
인사말,greetings
자판기,vending machine
장모님,mother in law
저녁때,evening
저울,Scale
적어지다,Write down
지폐,money
진실로,truly
촛불,Candlelight
출퇴근,commute
치과,Dentist
테스트,test
통역,translate
퇴근하다,leave work
표시하다,Denote
피로하다,Tumble
하,under
한데,There
혼잣말,soliloquy
화나다,angry
효도하다,Effuse
힘없이,Without power
가로,width
갈아타다,transfer
건넌방,Knock room
곧이어,Straight
공기,air
굉장하다,amazing
그래서,therefore
기업인,Businessmen
긴장되다,to be nervous
깨끗해지다,Clean
낚싯대,fishing rod
남동생,brother
냇물,Stain
단골,custom
단맛,sweetness
담요,blanket
대,big
더러워지다,Dull
데우다,warm up
도착,arrive
동그랗다,Circle
뛰어나오다,Run out
레저,leisure
로터리,Rotary
무덥다,Be hot
뭘,What
반대편,Opposite
발바닥,sole
발톱,toenail
밝아지다,Brighten
밤새다,Overnight
부잣집,Wealthy
분명해지다,Steep